Order_Number,Sales_Date,Sales_Channel,Currency,Sales_Team_ID,Store_ID,Product_ID,Order_Qty,Unit_Price,Unit_Cost,Sales,Costs,Profits
SO3851,2/14/20,In-Store,USD,14,195,1,7,316.03,225.74,2212.22,1580.15,632.06
SO3852,1/20/20,Online,USD,16,329,3,2,182.53,130.38,365.06,260.75,104.30
SO3853,4/6/20,Online,USD,23,317,25,8,467.05,333.61,3736.41,2668.86,1067.55
SO3854,1/2/20,Online,USD,11,267,15,5,431.12,307.95,2155.62,1539.73,615.89
SO3855,2/22/20,Wholesale,USD,1,10,27,8,183.92,131.37,1471.33,1050.95,420.38
SO3856,2/26/20,Online,USD,2,325,21,3,205.69,146.92,617.07,440.76,176.31
SO3857,5/18/20,In-Store,USD,25,265,29,1,640.36,457.40,640.36,457.40,182.96
SO3858,2/27/20,Wholesale,USD,3,335,29,10,310.06,221.47,3100.63,2214.74,885.89
SO3859,5/16/20,Wholesale,USD,5,157,15,5,477.75,341.25,2388.75,1706.25,682.50
SO3860,1/7/20,Distributor,USD,23,24,29,6,158.50,113.21,951.00,679.28,271.71
SO3861,1/29/20,In-Store,USD,16,102,5,10,408.26,291.62,4082.61,2916.15,1166.46
SO3862,5/23/20,Online,USD,21,73,20,8,248.62,177.59,1988.99,1420.71,568.28
SO3863,2/9/20,Distributor,USD,8,347,20,9,555.53,396.81,4999.77,3571.27,1428.51
SO3864,5/30/20,Distributor,USD,4,227,44,7,370.01,264.30,2590.10,1850.07,740.03
SO3865,3/11/20,Online,USD,10,203,23,6,568.40,406.00,3410.37,2435.98,974.39
SO3866,1/2/20,In-Store,USD,8,307,22,10,515.44,368.17,5154.41,3681.72,1472.69
SO3867,4/4/20,Wholesale,USD,2,331,37,4,644.67,460.48,2578.69,1841.92,736.77
SO3868,3/14/20,Distributor,USD,11,143,25,9,565.06,403.61,5085.50,3632.50,1453.00
SO3869,3/16/20,In-Store,USD,2,206,45,2,224.11,160.08,448.21,320.15,128.06
SO3870,4/6/20,In-Store,USD,5,34,30,1,450.05,321.46,450.05,321.46,128.58
SO3871,5/9/20,In-Store,USD,16,204,40,7,252.89,180.64,1770.25,1264.46,505.79
SO3872,4/20/20,Online,USD,6,153,39,10,623.54,445.39,6235.43,4453.88,1781.55
SO3873,2/3/20,Wholesale,USD,11,279,33,7,518.45,370.32,3629.18,2592.27,1036.91
SO3874,2/15/20,Wholesale,USD,19,328,27,6,286.82,204.87,1720.94,1229.25,491.70
SO3875,3/28/20,In-Store,USD,10,68,34,7,211.35,150.96,1479.43,1056.73,422.69
SO3876,4/6/20,In-Store,USD,3,250,19,3,463.07,330.76,1389.20,992.29,396.91
SO3877,3/15/20,Online,USD,18,282,34,5,477.48,341.06,2387.39,1705.28,682.11
SO3878,4/28/20,In-Store,USD,15,265,29,5,599.22,428.01,2996.08,2140.06,856.02
SO3879,3/22/20,Online,USD,13,150,22,9,334.02,238.59,3006.22,2147.30,858.92
SO3880,5/5/20,In-Store,USD,9,49,38,9,547.72,391.23,4929.46,3521.05,1408.42
SO3881,5/31/20,Online,USD,14,107,36,4,493.72,352.65,1974.87,1410.62,564.25
SO3882,2/15/20,Online,USD,22,276,43,1,366.17,261.55,366.17,261.55,104.62
SO3883,1/20/20,In-Store,USD,13,283,33,9,208.39,148.85,1875.52,1339.66,535.86
SO3884,5/16/20,Wholesale,USD,7,351,3,6,518.17,370.12,3109.01,2220.72,888.29
SO3885,3/16/20,Wholesale,USD,9,129,21,6,423.97,302.84,2543.82,1817.02,726.81
SO3886,5/16/20,Distributor,USD,19,86,38,7,173.85,124.18,1216.97,869.26,347.71
SO3887,2/8/20,Online,USD,24,207,19,6,612.27,437.34,3673.65,2624.03,1049.61
SO3888,5/24/20,Distributor,USD,24,28,47,2,451.99,322.85,903.99,645.71,258.28
SO3889,2/8/20,In-Store,USD,18,267,38,4,317.32,226.66,1269.27,906.62,362.65
SO3890,1/18/20,Wholesale,USD,25,57,25,9,532.58,380.42,4793.26,3423.76,1369.50
SO3891,3/2/20,Distributor,USD,16,337,1,6,547.01,390.72,3282.04,2344.31,937.73
SO3892,2/23/20,Wholesale,USD,19,343,3,2,245.26,175.19,490.52,350.37,140.15
SO3893,4/22/20,Online,USD,23,241,47,8,266.38,190.27,2131.05,1522.18,608.87
SO3894,5/7/20,Wholesale,USD,22,38,47,8,319.06,227.90,2552.50,1823.22,729.29
SO3895,5/27/20,In-Store,USD,24,40,38,1,407.82,291.30,407.82,291.30,116.52
SO3896,4/22/20,Wholesale,USD,12,184,20,8,622.34,444.53,4978.74,3556.24,1422.50
SO3897,3/30/20,Wholesale,USD,3,292,7,6,383.84,274.17,2303.06,1645.04,658.02
SO3898,3/10/20,Distributor,USD,5,158,3,9,353.80,252.72,3184.23,2274.45,909.78
SO3899,5/4/20,Online,USD,6,56,14,3,269.47,192.48,808.41,577.44,230.97
SO3900,2/16/20,Distributor,USD,16,197,6,4,263.01,187.86,1052.04,751.45,300.58
SO3901,5/4/20,Distributor,USD,12,152,32,2,403.21,288.01,806.42,576.01,230.41
SO3902,2/11/20,Distributor,USD,23,231,38,7,590.85,422.03,4135.92,2954.23,1181.69
SO3903,1/22/20,In-Store,USD,26,233,14,2,301.16,215.11,602.32,430.23,172.09
SO3904,2/13/20,Wholesale,USD,22,44,31,10,569.75,406.96,5697.49,4069.64,1627.85
SO3905,2/7/20,Distributor,USD,14,316,33,5,406.83,290.59,2034.16,1452.97,581.19
SO3906,1/16/20,Wholesale,USD,14,360,11,1,438.71,313.36,438.71,313.36,125.35
SO3907,3/20/20,In-Store,USD,15,283,41,5,304.64,217.60,1523.20,1088.00,435.20
SO3908,4/25/20,Online,USD,20,144,33,7,540.35,385.96,3782.43,2701.74,1080.70
SO3909,2/6/20,Wholesale,USD,2,92,33,3,176.16,125.83,528.48,377.49,151.00
SO3910,2/1/20,In-Store,USD,6,162,7,7,208.59,148.99,1460.13,1042.95,417.18
SO3911,2/10/20,Online,USD,19,276,29,4,379.63,271.16,1518.52,1084.66,433.86
SO3912,4/4/20,In-Store,USD,25,218,7,2,282.72,201.94,565.43,403.88,161.55
SO3913,4/2/20,In-Store,USD,25,157,25,6,170.28,121.63,1021.66,729.76,291.90
SO3914,3/2/20,Wholesale,USD,20,289,16,2,182.82,130.59,365.65,261.18,104.47
SO3915,5/26/20,Online,USD,3,119,16,8,211.45,151.03,1691.57,1208.26,483.31
SO3916,5/18/20,Distributor,USD,5,119,19,5,646.97,462.12,3234.87,2310.62,924.25
SO3917,5/14/20,In-Store,USD,7,64,28,4,625.64,446.89,2502.57,1787.55,715.02
SO3918,3/13/20,In-Store,USD,26,366,39,8,309.58,221.13,2476.61,1769.01,707.60
SO3919,2/22/20,In-Store,USD,4,218,42,2,487.89,348.49,975.79,696.99,278.80
SO3920,2/7/20,In-Store,USD,1,17,40,10,477.77,341.26,4777.65,3412.61,1365.04
SO3921,4/15/20,Distributor,USD,24,238,16,4,280.12,200.09,1120.49,800.35,320.14
SO3922,5/1/20,Wholesale,USD,14,333,35,8,523.81,374.15,4190.48,2993.20,1197.28
SO3923,2/20/20,In-Store,USD,3,50,6,7,433.40,309.57,3033.83,2167.02,866.81
SO3924,4/11/20,In-Store,USD,15,319,29,8,504.85,360.61,4038.80,2884.86,1153.94
SO3925,3/22/20,Wholesale,USD,8,35,41,5,232.26,165.90,1161.30,829.50,331.80
SO3926,2/6/20,Distributor,USD,16,30,44,5,191.47,136.77,957.37,683.84,273.54
SO3927,2/29/20,In-Store,USD,10,110,17,7,478.44,341.74,3349.05,2392.18,956.87
SO3928,3/31/20,Distributor,USD,11,200,29,2,344.93,246.38,689.85,492.75,197.10
SO3929,4/11/20,Wholesale,USD,5,295,46,1,410.77,293.41,410.77,293.41,117.36
SO3930,2/14/20,Online,USD,6,359,18,2,183.97,131.41,367.94,262.82,105.13
SO3931,1/14/20,In-Store,USD,3,293,41,10,545.10,389.36,5451.03,3893.60,1557.44
SO3932,1/22/20,Distributor,USD,23,278,40,2,638.71,456.22,1277.41,912.44,364.98
SO3933,2/25/20,Distributor,USD,25,112,17,10,177.33,126.66,1773.31,1266.65,506.66
SO3934,3/14/20,In-Store,USD,12,114,18,10,568.85,406.32,5688.46,4063.18,1625.27
SO3935,5/22/20,In-Store,USD,26,194,35,8,462.08,330.05,3696.60,2640.43,1056.17
SO3936,3/28/20,Distributor,USD,19,226,38,8,303.25,216.61,2426.00,1732.85,693.14
SO3937,2/20/20,In-Store,USD,3,304,45,9,557.57,398.27,5018.16,3584.40,1433.76
SO3938,5/29/20,Online,USD,6,263,15,8,429.75,306.96,3438.00,2455.72,982.29
SO3939,3/11/20,Online,USD,10,243,45,10,504.71,360.51,5047.12,3605.09,1442.03
SO3940,1/23/20,Distributor,USD,19,158,17,5,422.54,301.81,2112.68,1509.06,603.62
SO3941,3/6/20,Wholesale,USD,22,365,39,2,585.37,418.12,1170.74,836.24,334.50
SO3942,3/21/20,Distributor,USD,3,229,21,8,316.64,226.17,2533.13,1809.38,723.75
SO3943,3/23/20,Distributor,USD,16,351,36,2,557.46,398.18,1114.91,796.37,318.55
SO3944,1/7/20,In-Store,USD,18,269,33,1,247.30,176.64,247.30,176.64,70.66
SO3945,4/5/20,Wholesale,USD,5,288,43,10,285.33,203.81,2853.33,2038.09,815.24
SO3946,3/23/20,Wholesale,USD,13,152,6,4,312.23,223.02,1248.93,892.09,356.84
SO3947,5/25/20,In-Store,USD,14,127,6,5,403.48,288.20,2017.39,1440.99,576.40
SO3948,4/15/20,Wholesale,USD,24,194,29,2,334.10,238.64,668.20,477.29,190.92
SO3949,1/30/20,Online,USD,26,270,18,9,273.59,195.42,2462.35,1758.82,703.53
SO3950,3/20/20,In-Store,USD,1,291,9,5,227.70,162.65,1138.52,813.23,325.29
SO3951,2/10/20,Online,USD,10,282,32,3,640.55,457.54,1921.66,1372.62,549.05
SO3952,2/13/20,Wholesale,USD,11,303,2,6,298.66,213.33,1791.96,1279.97,511.99
SO3953,1/23/20,Wholesale,USD,15,142,4,1,481.81,344.15,481.81,344.15,137.66
SO3954,4/17/20,Online,USD,3,163,24,1,424.64,303.32,424.64,303.32,121.33
SO3955,5/5/20,Distributor,USD,22,88,36,1,215.22,153.73,215.22,153.73,61.49
SO3956,3/18/20,Wholesale,USD,26,145,36,2,201.43,143.88,402.85,287.75,115.10
SO3957,5/29/20,Online,USD,7,366,5,5,509.43,363.88,2547.15,1819.39,727.76
SO3958,5/21/20,Online,USD,26,336,1,6,257.27,183.76,1543.59,1102.57,441.03
SO3959,1/28/20,Online,USD,10,65,36,3,595.17,425.12,1785.50,1275.36,510.14
SO3960,3/29/20,In-Store,USD,26,287,25,8,555.42,396.73,4443.38,3173.84,1269.54
SO3961,4/2/20,Online,USD,14,178,42,2,602.21,430.15,1204.43,860.31,344.12
SO3962,5/1/20,In-Store,USD,19,278,34,4,647.85,462.75,2591.40,1851.00,740.40
SO3963,3/31/20,Distributor,USD,23,363,30,5,547.85,391.32,2739.26,1956.62,782.65
SO3964,3/19/20,Wholesale,USD,19,213,9,6,455.30,325.22,2731.83,1951.31,780.52
SO3965,3/23/20,Online,USD,26,234,18,1,251.00,179.29,251.00,179.29,71.71
SO3966,1/10/20,Wholesale,USD,17,337,9,7,274.45,196.04,1921.16,1372.25,548.90
SO3967,5/16/20,Online,USD,9,330,37,2,563.43,402.45,1126.85,804.89,321.96
SO3968,4/6/20,Distributor,USD,24,344,14,6,340.70,243.36,2044.21,1460.15,584.06
SO3969,2/27/20,In-Store,USD,1,208,19,10,422.71,301.94,4227.11,3019.37,1207.75
SO3970,2/6/20,Online,USD,1,139,5,10,400.85,286.32,4008.54,2863.25,1145.30
SO3971,3/25/20,Wholesale,USD,1,6,9,2,388.85,277.75,777.69,555.50,222.20
SO3972,2/20/20,Wholesale,USD,13,121,43,3,375.79,268.42,1127.37,805.27,322.11
SO3973,3/14/20,Wholesale,USD,10,149,25,6,405.63,289.74,2433.80,1738.43,695.37
SO3974,3/22/20,Distributor,USD,24,20,12,8,312.77,223.41,2502.19,1787.28,714.91
SO3975,1/3/20,Wholesale,USD,23,247,27,8,194.29,138.78,1554.30,1110.21,444.09
SO3976,1/16/20,Online,USD,17,212,23,9,457.12,326.52,4114.12,2938.66,1175.46
SO3977,5/26/20,Online,USD,4,98,39,2,290.92,207.80,581.84,415.60,166.24
SO3978,5/30/20,In-Store,USD,9,337,27,1,394.31,281.65,394.31,281.65,112.66
SO3979,2/11/20,Online,USD,24,366,8,1,361.77,258.40,361.77,258.40,103.36
SO3980,4/30/20,Distributor,USD,26,37,11,4,346.71,247.65,1386.84,990.60,396.24
SO3981,5/6/20,In-Store,USD,25,162,11,3,573.36,409.54,1720.08,1228.63,491.45
SO3982,5/5/20,Wholesale,USD,15,149,29,5,319.64,228.31,1598.19,1141.57,456.63
SO3983,4/12/20,Wholesale,USD,6,275,20,4,397.04,283.60,1588.15,1134.39,453.76
SO3984,1/17/20,Wholesale,USD,4,164,29,2,431.33,308.10,862.67,616.19,246.48
SO3985,3/18/20,Online,USD,14,314,45,2,374.41,267.43,748.81,534.87,213.95
SO3986,1/19/20,Distributor,USD,26,20,6,10,375.99,268.57,3759.95,2685.68,1074.27
SO3987,1/9/20,In-Store,USD,24,141,5,8,471.74,336.96,3773.95,2695.68,1078.27
SO3988,3/5/20,Wholesale,USD,14,18,5,7,603.15,430.82,4222.03,3015.74,1206.29
SO3989,3/15/20,Distributor,USD,6,283,6,2,299.42,213.87,598.84,427.74,171.10
SO3990,4/16/20,In-Store,USD,19,141,47,9,406.84,290.60,3661.58,2615.41,1046.16
SO3991,1/2/20,Distributor,USD,15,146,31,5,585.79,418.42,2928.96,2092.11,836.84
SO3992,4/20/20,In-Store,USD,7,90,9,7,267.49,191.06,1872.41,1337.44,534.98
SO3993,2/17/20,In-Store,USD,2,273,37,6,410.20,293.00,2461.20,1758.00,703.20
SO3994,2/9/20,In-Store,USD,25,19,17,7,383.35,273.82,2683.42,1916.73,766.69
SO3995,3/16/20,Distributor,USD,18,326,36,10,356.00,254.29,3560.00,2542.85,1017.14
SO3996,5/26/20,Online,USD,17,197,33,2,479.96,342.83,959.92,685.66,274.26
SO3997,4/24/20,In-Store,USD,26,300,7,9,326.75,233.39,2940.73,2100.52,840.21
SO3998,4/28/20,Online,USD,7,85,45,8,600.07,428.62,4800.55,3428.96,1371.58
SO3999,4/12/20,Online,USD,17,147,7,10,432.99,309.28,4329.89,3092.78,1237.11
SO4000,3/13/20,Wholesale,USD,11,42,9,2,196.76,140.54,393.52,281.09,112.44
SO4001,2/14/20,Distributor,USD,7,363,45,5,456.28,325.91,2281.38,1629.56,651.82
SO4002,1/21/20,In-Store,USD,7,93,42,10,492.93,352.09,4929.28,3520.91,1408.36
SO4003,5/25/20,Online,USD,17,363,32,4,536.32,383.09,2145.30,1532.36,612.94
SO4004,5/8/20,Online,USD,17,228,42,5,165.27,118.05,826.33,590.23,236.09
SO4005,5/1/20,In-Store,USD,2,328,10,9,341.48,243.92,3073.35,2195.25,878.10
SO4006,1/2/20,Wholesale,USD,13,187,18,4,588.40,420.28,2353.58,1681.13,672.45
SO4007,2/23/20,Wholesale,USD,5,205,34,8,620.90,443.50,4967.22,3548.01,1419.20
SO4008,5/7/20,Wholesale,USD,21,60,25,5,426.84,304.89,2134.22,1524.45,609.78
SO4009,3/19/20,Wholesale,USD,19,286,8,3,641.06,457.90,1923.19,1373.71,549.48
SO4010,1/5/20,Online,USD,14,211,45,5,569.95,407.11,2849.76,2035.54,814.22
SO4011,1/8/20,Distributor,USD,12,158,31,8,164.59,117.57,1316.73,940.52,376.21
SO4012,4/19/20,Wholesale,USD,24,211,36,5,449.95,321.39,2249.75,1606.97,642.79
SO4013,2/2/20,Wholesale,USD,15,256,26,10,225.47,161.05,2254.73,1610.52,644.21
SO4014,1/25/20,Online,USD,12,226,44,7,475.79,339.85,3330.53,2378.95,951.58
SO4015,2/5/20,Distributor,USD,11,68,37,4,587.13,419.38,2348.51,1677.51,671.00
SO4016,4/22/20,In-Store,USD,5,345,27,6,390.44,278.89,2342.66,1673.33,669.33
SO4017,4/16/20,Distributor,USD,19,350,41,9,411.95,294.25,3707.52,2648.23,1059.29
SO4018,2/19/20,Wholesale,USD,11,5,42,9,518.77,370.55,4668.90,3334.93,1333.97
SO4019,1/26/20,Wholesale,USD,15,266,14,10,279.25,199.46,2792.49,1994.64,797.85
SO4020,5/20/20,In-Store,USD,17,133,5,9,473.17,337.98,4258.49,3041.78,1216.71
SO4021,3/11/20,Wholesale,USD,14,302,15,9,306.76,219.12,2760.88,1972.05,788.82
SO4022,2/18/20,In-Store,USD,15,100,33,2,530.61,379.01,1061.22,758.01,303.21
SO4023,3/19/20,In-Store,USD,16,225,34,1,278.09,198.64,278.09,198.64,79.45
SO4024,1/11/20,Wholesale,USD,8,352,30,9,498.78,356.27,4489.00,3206.43,1282.57
SO4025,4/14/20,In-Store,USD,18,179,27,4,288.76,206.26,1155.05,825.04,330.01
SO4026,5/25/20,Distributor,USD,6,53,27,3,533.36,380.97,1600.09,1142.92,457.17
SO4027,5/24/20,Distributor,USD,19,238,19,7,548.83,392.02,3841.78,2744.13,1097.65
SO4028,1/2/20,Distributor,USD,6,58,42,5,477.83,341.31,2389.14,1706.53,682.61
SO4029,3/2/20,Distributor,USD,9,93,4,8,608.11,434.36,4864.85,3474.89,1389.96
SO4030,3/5/20,Distributor,USD,3,11,24,9,434.10,310.07,3906.93,2790.67,1116.27
SO4031,5/21/20,Distributor,USD,15,253,20,10,399.55,285.39,3995.49,2853.92,1141.57
SO4032,1/24/20,Online,USD,7,66,24,8,388.09,277.20,3104.68,2217.63,887.05
SO4033,5/28/20,Distributor,USD,17,365,22,5,611.30,436.64,3056.50,2183.21,873.28
SO4034,5/26/20,In-Store,USD,6,227,44,10,345.88,247.05,3458.76,2470.54,988.22
SO4035,5/4/20,Online,USD,10,271,29,7,524.43,374.59,3670.99,2622.13,1048.85
SO4036,2/3/20,Distributor,USD,17,307,39,7,558.12,398.66,3906.82,2790.59,1116.24
SO4037,4/29/20,Online,USD,9,316,13,5,596.45,426.04,2982.26,2130.19,852.08
SO4038,4/20/20,Wholesale,USD,16,283,27,3,532.91,380.65,1598.73,1141.95,456.78
SO4039,1/31/20,Online,USD,3,99,40,10,162.08,115.77,1620.82,1157.73,463.09
SO4040,2/13/20,Online,USD,5,190,42,8,172.12,122.94,1376.95,983.53,393.41
SO4041,1/30/20,Wholesale,USD,22,85,41,2,286.80,204.86,573.60,409.71,163.89
SO4042,5/24/20,Distributor,USD,11,246,27,9,479.07,342.19,4311.66,3079.75,1231.90
SO4043,3/10/20,Distributor,USD,7,296,36,8,391.24,279.46,3129.90,2235.64,894.26
SO4044,1/4/20,Wholesale,USD,7,175,36,2,408.98,292.13,817.97,584.26,233.71
SO4045,4/22/20,Distributor,USD,6,334,33,6,435.46,311.04,2612.77,1866.26,746.51
SO4046,2/17/20,Distributor,USD,12,74,43,9,586.56,418.97,5279.05,3770.75,1508.30
SO4047,3/31/20,Wholesale,USD,14,271,20,7,537.60,384.00,3763.22,2688.01,1075.20
SO4048,2/2/20,Distributor,USD,16,124,46,1,191.64,136.89,191.64,136.89,54.76
SO4049,4/2/20,Wholesale,USD,1,218,35,9,547.46,391.04,4927.15,3519.39,1407.76
SO4050,3/31/20,Online,USD,19,222,3,9,492.87,352.05,4435.81,3168.44,1267.37
SO4051,2/18/20,Wholesale,USD,24,155,24,8,217.02,155.01,1736.15,1240.11,496.04
SO4052,3/25/20,Distributor,USD,25,316,16,4,578.64,413.31,2314.56,1653.26,661.30
SO4053,2/16/20,Wholesale,USD,16,205,5,2,233.99,167.14,467.98,334.27,133.71
SO4054,3/29/20,Distributor,USD,10,131,41,2,518.98,370.70,1037.95,741.39,296.56
SO4055,2/26/20,In-Store,USD,4,178,28,6,501.85,358.46,3011.08,2150.77,860.31
SO4056,4/5/20,In-Store,USD,2,353,43,5,262.95,187.82,1314.74,939.10,375.64
SO4057,4/7/20,Online,USD,7,228,8,3,190.93,136.38,572.79,409.14,163.66
SO4058,1/26/20,Wholesale,USD,20,115,30,5,236.81,169.15,1184.07,845.77,338.31
SO4059,1/16/20,Wholesale,USD,3,156,35,7,202.61,144.72,1418.28,1013.06,405.22
SO4060,1/30/20,Distributor,USD,25,358,16,1,214.07,152.90,214.07,152.90,61.16
SO4061,5/17/20,Wholesale,USD,12,128,28,1,296.61,211.86,296.61,211.86,84.74
SO4062,4/28/20,Online,USD,24,37,29,8,167.96,119.97,1343.71,959.79,383.92
SO4063,2/17/20,Wholesale,USD,21,154,15,7,290.88,207.77,2036.19,1454.42,581.77
SO4064,4/13/20,In-Store,USD,13,61,13,3,429.33,306.66,1287.99,919.99,368.00
SO4065,2/21/20,Wholesale,USD,3,181,42,8,339.81,242.72,2718.49,1941.78,776.71
SO4066,1/1/20,Online,USD,5,278,26,4,601.61,429.72,2406.42,1718.87,687.55
SO4067,2/15/20,Distributor,USD,10,154,6,2,431.43,308.17,862.87,616.33,246.53
SO4068,5/30/20,In-Store,USD,3,185,11,4,317.50,226.79,1270.01,907.15,362.86
SO4069,5/7/20,Distributor,USD,16,263,6,8,372.07,265.77,2976.57,2126.12,850.45
SO4070,3/12/20,Wholesale,USD,26,229,31,4,537.73,384.09,2150.91,1536.37,614.55
SO4071,2/3/20,Wholesale,USD,11,171,29,10,649.61,464.01,6496.10,4640.07,1856.03
SO4072,3/13/20,In-Store,USD,22,248,27,1,209.60,149.71,209.60,149.71,59.89
SO4073,5/16/20,Distributor,USD,10,193,39,7,183.16,130.83,1282.11,915.79,366.32
SO4074,1/4/20,In-Store,USD,6,177,32,6,262.58,187.56,1575.46,1125.33,450.13
SO4075,4/9/20,In-Store,USD,14,101,28,2,618.98,442.13,1237.97,884.26,353.70
SO4076,2/3/20,Online,USD,14,126,36,8,489.96,349.97,3919.72,2799.80,1119.92
SO4077,5/4/20,Wholesale,USD,10,179,7,3,404.86,289.18,1214.57,867.55,347.02
SO4078,1/9/20,Wholesale,USD,8,348,16,7,542.36,387.40,3796.53,2711.81,1084.72
SO4079,3/4/20,Online,USD,7,24,46,2,577.24,412.32,1154.49,824.64,329.85
SO4080,3/26/20,Distributor,USD,11,246,40,5,351.59,251.14,1757.97,1255.70,502.28
SO4081,1/24/20,Distributor,USD,11,249,21,1,232.98,166.41,232.98,166.41,66.57
SO4082,2/3/20,Distributor,USD,4,40,44,4,439.20,313.72,1756.81,1254.87,501.95
SO4083,4/11/20,Distributor,USD,3,230,41,5,363.33,259.52,1816.67,1297.62,519.05
SO4084,5/8/20,Wholesale,USD,25,30,15,7,183.73,131.23,1286.08,918.63,367.45
SO4085,3/6/20,In-Store,USD,23,141,42,3,284.63,203.31,853.90,609.93,243.97
SO4086,2/8/20,Online,USD,22,155,14,8,262.35,187.39,2098.76,1499.12,599.65
SO4087,2/3/20,Distributor,USD,22,246,43,8,583.84,417.03,4670.73,3336.24,1334.49
SO4088,3/9/20,Online,USD,16,104,2,4,577.66,412.61,2310.63,1650.45,660.18
SO4089,1/13/20,Distributor,USD,20,20,21,4,570.74,407.67,2282.95,1630.68,652.27
SO4090,1/27/20,Wholesale,USD,23,308,40,7,636.60,454.71,4456.20,3183.00,1273.20
SO4091,1/19/20,In-Store,USD,1,138,42,2,397.64,284.03,795.28,568.06,227.22
SO4092,1/7/20,Online,USD,10,191,25,4,455.83,325.59,1823.31,1302.37,520.95
SO4093,4/10/20,Distributor,USD,18,187,3,3,597.78,426.99,1793.34,1280.96,512.38
SO4094,4/3/20,Online,USD,14,80,2,3,193.05,137.90,579.16,413.69,165.48
SO4095,3/14/20,Distributor,USD,26,93,22,8,435.78,311.27,3486.23,2490.16,996.07
SO4096,1/16/20,Online,USD,4,38,24,9,336.15,240.11,3025.34,2160.96,864.38
SO4097,2/14/20,In-Store,USD,16,143,6,2,596.85,426.32,1193.69,852.64,341.05
SO4098,3/21/20,Distributor,USD,11,348,47,3,399.02,285.02,1197.07,855.05,342.02
SO4099,3/25/20,Wholesale,USD,21,70,18,1,335.63,239.73,335.63,239.73,95.89
SO4100,4/13/20,Distributor,USD,14,59,32,1,210.58,150.41,210.58,150.41,60.17
SO4101,2/27/20,Online,USD,6,317,9,2,372.87,266.34,745.74,532.67,213.07
SO4102,1/4/20,In-Store,USD,13,311,18,4,493.25,352.32,1973.01,1409.29,563.72
SO4103,1/11/20,Wholesale,USD,17,294,32,5,408.26,291.62,2041.32,1458.09,583.24
SO4104,3/6/20,In-Store,USD,21,244,30,2,554.95,396.39,1109.90,792.78,317.11
SO4105,3/24/20,In-Store,USD,7,209,43,7,283.17,202.26,1982.20,1415.85,566.34
SO4106,3/21/20,Online,USD,6,108,26,8,562.37,401.69,4498.97,3213.55,1285.42
SO4107,4/29/20,Distributor,USD,10,366,17,1,425.11,303.65,425.11,303.65,121.46
SO4108,5/9/20,Distributor,USD,7,257,13,10,458.05,327.18,4580.49,3271.78,1308.71
SO4109,5/9/20,Online,USD,9,307,12,5,337.19,240.85,1685.96,1204.25,481.70
SO4110,1/28/20,Online,USD,21,233,46,1,233.59,166.85,233.59,166.85,66.74
SO4111,2/23/20,Wholesale,USD,8,300,6,4,533.84,381.31,2135.34,1525.24,610.10
SO4112,5/2/20,Wholesale,USD,18,355,11,10,384.95,274.96,3849.49,2749.64,1099.86
SO4113,2/6/20,Online,USD,19,43,43,5,423.54,302.53,2117.68,1512.63,605.05
SO4114,3/13/20,Distributor,USD,26,297,37,7,498.68,356.20,3490.76,2493.40,997.36
SO4115,2/26/20,Wholesale,USD,9,183,26,2,295.48,211.06,590.96,422.11,168.84
SO4116,2/18/20,In-Store,USD,4,203,28,3,556.58,397.56,1669.74,1192.67,477.07
SO4117,2/5/20,Online,USD,19,259,4,8,161.22,115.16,1289.79,921.28,368.51
SO4118,1/20/20,Wholesale,USD,21,91,36,7,152.13,108.66,1064.88,760.63,304.25
SO4119,4/20/20,Wholesale,USD,9,301,18,2,351.85,251.32,703.71,502.65,201.06
SO4120,3/24/20,In-Store,USD,26,350,2,8,456.56,326.11,3652.47,2608.91,1043.56
SO4121,5/18/20,Wholesale,USD,1,253,16,4,379.21,270.87,1516.85,1083.47,433.39
SO4122,2/8/20,Online,USD,23,3,23,1,370.63,264.73,370.63,264.73,105.89
SO4123,1/24/20,Distributor,USD,16,242,1,4,210.19,150.14,840.76,600.54,240.22
SO4124,1/13/20,Online,USD,1,120,47,1,467.27,333.77,467.27,333.77,133.51
SO4125,1/12/20,Wholesale,USD,14,53,43,7,212.16,151.54,1485.10,1060.79,424.32
SO4126,4/20/20,In-Store,USD,17,62,28,2,399.78,285.56,799.56,571.12,228.45
SO4127,1/16/20,Distributor,USD,20,308,25,10,161.01,115.01,1610.12,1150.08,460.03
SO4128,3/7/20,In-Store,USD,7,7,12,5,625.20,446.57,3126.01,2232.87,893.15
SO4129,4/21/20,Distributor,USD,25,218,3,8,333.43,238.16,2667.44,1905.32,762.13
SO4130,5/6/20,Distributor,USD,5,175,26,2,380.04,271.45,760.07,542.91,217.16
SO4131,4/23/20,Online,USD,22,75,26,5,315.29,225.21,1576.46,1126.04,450.42
SO4132,5/5/20,Distributor,USD,11,121,31,4,503.50,359.64,2014.00,1438.57,575.43
SO4133,5/2/20,In-Store,USD,18,261,41,1,301.38,215.27,301.38,215.27,86.11
SO4134,1/26/20,Wholesale,USD,23,81,26,1,289.89,207.06,289.89,207.06,82.83
SO4135,3/1/20,Online,USD,15,342,33,10,267.83,191.31,2678.30,1913.07,765.23
SO4136,1/29/20,Online,USD,2,191,4,3,221.82,158.44,665.46,475.33,190.13
SO4137,1/6/20,Wholesale,USD,11,100,4,3,539.87,385.62,1619.60,1156.86,462.74
